id, name, age, salary, date_of_birth
1, John, 32, 50000, 1990-01-01
2, Jane, 28, 45000, 1992-02-02
3, Bob, 40, 55000, 1985-03-03
4, Alice, 35, 60000, 1987-04-04
5, Tom, 30, 40000, 1991-05-05
6, Dave, 38, 52000, 1984-06-06
7, Sarah, 29, 47000, 1992-07-07
8, Mike, 41, 58000, 1983-08-08
9, Emily, 33, 53000, 1989-09-09
10, Jack, 31, 49000, 1991-10-10
11, John, 32, 50000, 1990-01-01
12, Jane, 28, 45000, 1992-02-02
13, Bob, 40, 55000, 1985-03-03
14, Alice, 35, 60000, 1987-04-04
15, Tom, 30, 40000, 1991-05-05
16, Dave, 38, 52000, 1984-06-06
17, Sarah, 29, 47000, 1992-07-07
18, Mike, 41, 58000, 1983-08-08
19, Emily, 33, 53000, 1989-09-09
20, Jack, 31, 49000, 1991-10-10
21, John, 32, 50000, 1990-01-01
22, Jane, 28, 45000, 1992-02-02
23, Bob, 40, 55000, 1985-03-03
24, Alice, 35, 60000, 1987-04-04
25, Tom, 30, 40000, 1991-05-05
26, Dave, 38, 52000, 1984-06-06
27, Sarah, 29, 47000, 1992-07-07
28, Mike, 41, 58000, 1983-08-08
29, Emily, 33, 53000, 1989-09-09
30, Jack, 31, 49000, 1991-10-10
31, John, 32, 50000, 1990-01-01
32, Jane, 28, 45000, 1992-02-02
33, Bob, 40, 55000, 1985-03-03
34, Alice, 35, 60000, 1987-04-04
35, Tom, 30, 40000, 1991-05-05
36, Dave, 38, 52000, 1984-06-06
37, Sarah, 29, 47000, 1992-07-07
38, Mike, 41, 58000, 1983-08-08
39, Emily, 33, 53000, 1989-09-09
40, Jack, 31, 49000, 1991-10-10
41, John, 32, 50000, 1990-01-01
42, Jane, 28, 45000, 1992-02-02
43, Bob, 40, 55000, 1985-03-03
44, Alice, 35, 60000, 1987-04-04
45, Tom, 30, 40000, 1991-05-05
46, Dave, 38, 52000, 1984-06-06
47, Sarah, 29, 47000, 1992-07-07
48, Mike, 41, 58000, 1983-08-08
49, Emily, 33, 53000, 1989-09-09
